# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190427-20190503
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Просмотры страниц
000117,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,123
000117,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000117,27.04.2019 - 03.05.2019,Новые пользователи,258
000118,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,168
000118,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,28
000118,27.04.2019 - 03.05.2019,Новые пользователи,336
000119,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,79
000119,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,10
000119,27.04.2019 - 03.05.2019,Новые пользователи,194
000120,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,52
000120,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,3
000120,27.04.2019 - 03.05.2019,Новые пользователи,245
000121,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,97
000121,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000121,27.04.2019 - 03.05.2019,Новые пользователи,325
000122,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,39
000122,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000122,27.04.2019 - 03.05.2019,Новые пользователи,156
000123,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,62
000123,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000123,27.04.2019 - 03.05.2019,Новые пользователи,169
000124,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,200
000124,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000124,27.04.2019 - 03.05.2019,Новые пользователи,343
000125,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,102
000125,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000125,27.04.2019 - 03.05.2019,Новые пользователи,317
000126,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,103
000126,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000126,27.04.2019 - 03.05.2019,Новые пользователи,552
000127,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,76
000127,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,3
000127,27.04.2019 - 03.05.2019,Новые пользователи,496
000128,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,53
000128,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,8
000128,27.04.2019 - 03.05.2019,Новые пользователи,395
000129,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,82
000129,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000129,27.04.2019 - 03.05.2019,Новые пользователи,427
000130,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,141
000130,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000130,27.04.2019 - 03.05.2019,Новые пользователи,418
000131,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,111
000131,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,3
000131,27.04.2019 - 03.05.2019,Новые пользователи,479
000132,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,269
000132,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000132,27.04.2019 - 03.05.2019,Новые пользователи,561
000133,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,116
000133,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000133,27.04.2019 - 03.05.2019,Новые пользователи,506
000134,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,65
